cluster,config,epoch,freq_Hz,flagged_frac,retained_frac,exposure_s,ms_path
2A0335+096,C,1,8039000000.0,0.0,1.0,2606.6,../../../Image-Processing/2A0335+096/full_image/cconfig-p8.ms
2A0335+096,C,1,8167000000.0,0.0,1.0,2606.6,../../../Image-Processing/2A0335+096/full_image/cconfig-p8.ms
2A0335+096,C,1,8295000000.0,0.0,1.0,2606.6,../../../Image-Processing/2A0335+096/full_image/cconfig-p8.ms
2A0335+096,C,1,8423000000.0,0.0,1.0,2606.6,../../../Image-Processing/2A0335+096/full_image/cconfig-p8.ms
2A0335+096,C,1,8551000000.0,0.0,1.0,2606.6,../../../Image-Processing/2A0335+096/full_image/cconfig-p8.ms
2A0335+096,C,1,8679000000.0,0.0,1.0,2606.6,../../../Image-Processing/2A0335+096/full_image/cconfig-p8.ms
2A0335+096,C,1,8807000000.0,0.0,1.0,2606.6,../../../Image-Processing/2A0335+096/full_image/cconfig-p8.ms
2A0335+096,C,1,8935000000.0,0.0,1.0,2606.6,../../../Image-Processing/2A0335+096/full_image/cconfig-p8.ms
2A0335+096,C,1,9063000000.0,0.0,1.0,2606.6,../../../Image-Processing/2A0335+096/full_image/cconfig-p8.ms
2A0335+096,C,1,9191000000.0,0.0,1.0,2606.6,../../../Image-Processing/2A0335+096/full_image/cconfig-p8.ms
2A0335+096,C,1,9319000000.0,0.02659860715416271,0.9734013928458373,2606.6,../../../Image-Processing/2A0335+096/full_image/cconfig-p8.ms
2A0335+096,C,1,9447000000.0,0.0,1.0,2606.6,../../../Image-Processing/2A0335+096/full_image/cconfig-p8.ms
2A0335+096,C,1,9575000000.0,0.0,1.0,2606.6,../../../Image-Processing/2A0335+096/full_image/cconfig-p8.ms
2A0335+096,C,1,9703000000.0,0.0,1.0,2606.6,../../../Image-Processing/2A0335+096/full_image/cconfig-p8.ms
2A0335+096,C,1,9831000000.0,0.0,1.0,2606.6,../../../Image-Processing/2A0335+096/full_image/cconfig-p8.ms
2A0335+096,C,1,9959000000.0,0.0,1.0,2606.6,../../../Image-Processing/2A0335+096/full_image/cconfig-p8.ms
2A0335+096,C,1,10039000000.0,0.0,1.0,2606.6,../../../Image-Processing/2A0335+096/full_image/cconfig-p8.ms
2A0335+096,C,1,10167000000.0,0.0,1.0,2606.6,../../../Image-Processing/2A0335+096/full_image/cconfig-p8.ms
2A0335+096,C,1,10295000000.0,0.0,1.0,2606.6,../../../Image-Processing/2A0335+096/full_image/cconfig-p8.ms
2A0335+096,C,1,10423000000.0,0.0,1.0,2606.6,../../../Image-Processing/2A0335+096/full_image/cconfig-p8.ms
2A0335+096,C,1,10551000000.0,0.0,1.0,2606.6,../../../Image-Processing/2A0335+096/full_image/cconfig-p8.ms
2A0335+096,C,1,10679000000.0,3.956948401392846e-05,0.999960430515986,2606.6,../../../Image-Processing/2A0335+096/full_image/cconfig-p8.ms
2A0335+096,C,1,10807000000.0,0.00048274770496992717,0.9995172522950301,2606.6,../../../Image-Processing/2A0335+096/full_image/cconfig-p8.ms
2A0335+096,C,1,10935000000.0,0.0026828110161443495,0.9973171889838557,2606.6,../../../Image-Processing/2A0335+096/full_image/cconfig-p8.ms
2A0335+096,C,1,11063000000.0,0.0028885723330167776,0.9971114276669832,2606.6,../../../Image-Processing/2A0335+096/full_image/cconfig-p8.ms
2A0335+096,C,1,11191000000.0,0.0017094017094017094,0.9982905982905983,2606.6,../../../Image-Processing/2A0335+096/full_image/cconfig-p8.ms
2A0335+096,C,1,11319000000.0,0.0015511237733459955,0.998448876226654,2606.6,../../../Image-Processing/2A0335+096/full_image/cconfig-p8.ms
2A0335+096,C,1,11447000000.0,0.0006251978474200696,0.9993748021525799,2606.6,../../../Image-Processing/2A0335+096/full_image/cconfig-p8.ms
2A0335+096,C,1,11575000000.0,0.004320987654320987,0.995679012345679,2606.6,../../../Image-Processing/2A0335+096/full_image/cconfig-p8.ms
2A0335+096,C,1,11703000000.0,0.022847420069642292,0.9771525799303578,2606.6,../../../Image-Processing/2A0335+096/full_image/cconfig-p8.ms
2A0335+096,C,1,11831000000.0,0.012234884457106679,0.9877651155428934,2606.6,../../../Image-Processing/2A0335+096/full_image/cconfig-p8.ms
2A0335+096,C,1,11959000000.0,0.06530547641658753,0.9346945235834124,2606.6,../../../Image-Processing/2A0335+096/full_image/cconfig-p8.ms
A1413,C,1,8039000000.0,1.0,0.0,410.5,../../../Image-Processing/A1413/full_image/cconfig-p4.ms
A1413,C,1,8167000000.0,0.35798512187401077,0.6420148781259892,410.5,../../../Image-Processing/A1413/full_image/cconfig-p4.ms
A1413,C,1,8295000000.0,0.2148227287116176,0.7851772712883824,410.5,../../../Image-Processing/A1413/full_image/cconfig-p4.ms
A1413,C,1,8423000000.0,0.1792497625830959,0.8207502374169041,410.5,../../../Image-Processing/A1413/full_image/cconfig-p4.ms
A1413,C,1,8551000000.0,0.31141183918961696,0.688588160810383,410.5,../../../Image-Processing/A1413/full_image/cconfig-p4.ms
A1413,C,1,8679000000.0,0.3137068692624248,0.6862931307375753,410.5,../../../Image-Processing/A1413/full_image/cconfig-p4.ms
A1413,C,1,8807000000.0,0.25704336815447926,0.7429566318455207,410.5,../../../Image-Processing/A1413/full_image/cconfig-p4.ms
A1413,C,1,8935000000.0,0.3394270338714783,0.6605729661285217,410.5,../../../Image-Processing/A1413/full_image/cconfig-p4.ms
A1413,C,1,9063000000.0,0.2702200063311174,0.7297799936688826,410.5,../../../Image-Processing/A1413/full_image/cconfig-p4.ms
A1413,C,1,9191000000.0,0.6347736625514403,0.3652263374485597,410.5,../../../Image-Processing/A1413/full_image/cconfig-p4.ms
A1413,C,1,9319000000.0,1.0,0.0,410.5,../../../Image-Processing/A1413/full_image/cconfig-p4.ms
A1413,C,1,9447000000.0,1.0,0.0,410.5,../../../Image-Processing/A1413/full_image/cconfig-p4.ms
A1413,C,1,9575000000.0,1.0,0.0,410.5,../../../Image-Processing/A1413/full_image/cconfig-p4.ms
A1413,C,1,9703000000.0,1.0,0.0,410.5,../../../Image-Processing/A1413/full_image/cconfig-p4.ms
A1413,C,1,9831000000.0,1.0,0.0,410.5,../../../Image-Processing/A1413/full_image/cconfig-p4.ms
A1413,C,1,9959000000.0,1.0,0.0,410.5,../../../Image-Processing/A1413/full_image/cconfig-p4.ms
A1413,C,1,10039000000.0,1.0,0.0,410.5,../../../Image-Processing/A1413/full_image/cconfig-p4.ms
A1413,C,1,10167000000.0,1.0,0.0,410.5,../../../Image-Processing/A1413/full_image/cconfig-p4.ms
A1413,C,1,10295000000.0,1.0,0.0,410.5,../../../Image-Processing/A1413/full_image/cconfig-p4.ms
A1413,C,1,10423000000.0,1.0,0.0,410.5,../../../Image-Processing/A1413/full_image/cconfig-p4.ms
A1413,C,1,10551000000.0,1.0,0.0,410.5,../../../Image-Processing/A1413/full_image/cconfig-p4.ms
A1413,C,1,10679000000.0,1.0,0.0,410.5,../../../Image-Processing/A1413/full_image/cconfig-p4.ms
A1413,C,1,10807000000.0,1.0,0.0,410.5,../../../Image-Processing/A1413/full_image/cconfig-p4.ms
A1413,C,1,10935000000.0,1.0,0.0,410.5,../../../Image-Processing/A1413/full_image/cconfig-p4.ms
A1413,C,1,11063000000.0,1.0,0.0,410.5,../../../Image-Processing/A1413/full_image/cconfig-p4.ms
A1413,C,1,11191000000.0,1.0,0.0,410.5,../../../Image-Processing/A1413/full_image/cconfig-p4.ms
A1413,C,1,11319000000.0,1.0,0.0,410.5,../../../Image-Processing/A1413/full_image/cconfig-p4.ms
A1413,C,1,11447000000.0,1.0,0.0,410.5,../../../Image-Processing/A1413/full_image/cconfig-p4.ms
A1413,C,1,11575000000.0,1.0,0.0,410.5,../../../Image-Processing/A1413/full_image/cconfig-p4.ms
A1413,C,1,11703000000.0,1.0,0.0,410.5,../../../Image-Processing/A1413/full_image/cconfig-p4.ms
A1413,C,1,11831000000.0,1.0,0.0,410.5,../../../Image-Processing/A1413/full_image/cconfig-p4.ms
A1413,C,1,11959000000.0,1.0,0.0,410.5,../../../Image-Processing/A1413/full_image/cconfig-p4.ms
A1413,D,1,8039000000.0,0.22024950151487688,0.7797504984851231,3435.9,../../../Image-Processing/A1413/full_image/dconfig1-p4.ms
A1413,D,1,8167000000.0,0.07060089174616342,0.9293991082538365,3435.9,../../../Image-Processing/A1413/full_image/dconfig1-p4.ms
A1413,D,1,8295000000.0,0.04293060124860762,0.9570693987513924,3435.9,../../../Image-Processing/A1413/full_image/dconfig1-p4.ms
A1413,D,1,8423000000.0,0.08781998134521712,0.9121800186547828,3435.9,../../../Image-Processing/A1413/full_image/dconfig1-p4.ms
A1413,D,1,8551000000.0,0.009527044513457556,0.9904729554865425,3435.9,../../../Image-Processing/A1413/full_image/dconfig1-p4.ms
A1413,D,1,8679000000.0,0.030357142857142857,0.9696428571428571,3435.9,../../../Image-Processing/A1413/full_image/dconfig1-p4.ms
A1413,D,1,8807000000.0,0.02738489608944331,0.9726151039105567,3435.9,../../../Image-Processing/A1413/full_image/dconfig1-p4.ms
A1413,D,1,8935000000.0,0.018452858510831026,0.981547141489169,3435.9,../../../Image-Processing/A1413/full_image/dconfig1-p4.ms
A1413,D,1,9063000000.0,0.06051194450914926,0.9394880554908507,3435.9,../../../Image-Processing/A1413/full_image/dconfig1-p4.ms
A1413,D,1,9191000000.0,0.0125,0.9875,3435.9,../../../Image-Processing/A1413/full_image/dconfig1-p4.ms
A1413,D,1,9319000000.0,1.0,0.0,3435.9,../../../Image-Processing/A1413/full_image/dconfig1-p4.ms
